original_response,id,declarative,gen_ans,gen_ans_id,gt_ans,gt_ans_id,hallucinated
Japanese American is the Asian American whose ethnic group is Daniel Inouye.,1607,japanese american is the asian american whose ethnic group is daniel inouye.,,,['japanese american'],[10569],0
Orry-Kelly served as a costume designer of An American in Paris.,1608,orry-kelly served as a costume designer of an american in paris.,,,['orry-kelly'],[15925],0
The visual artwork that has the human composer of Looney Tunes: Back in Action (the one that has Joan Cusack as a cast member) as a cast member is In Harm's Way.,1610,the visual artwork that has the human composer of looney tunes: back in action (the one that has joan cusack as a cast member) as a cast member is in harm's way.,,,"[""in harm's way""]",[2392],0
"St Catharine's College, Cambridge is the college of Rebecca Hall of the University of Cambridge.",1613,"st catharine's college, cambridge is the college of rebecca hall of the university of cambridge.",,,"[""st catharine's college, cambridge""]",[5225],0
The Bronx High School of Science is a secondary school in The Bronx.,1617,the bronx high school of science is a secondary school in the bronx.,,,['the bronx high school of science'],[1513],0
Bam Margera was born in West Chester.,1618,bam margera was born in west chester.,,,['bam margera'],[13037],0
Robert Byrd is the person whose place of death was Fairfax.,1620,robert byrd is the person whose place of death was fairfax.,,,['robert byrd'],[7411],0
The city that has a country named Suriname is Paramaribo.,1627,the city that has a country named suriname is paramaribo.,,,['paramaribo'],[16349],0
Tarzan is a fictional human created by Edgar Rice Burroughs.,1629,tarzan is a fictional human created by edgar rice burroughs.,,,['tarzan'],[14157],0
Famke Janssen studied at the University of Amsterdam.,1630,famke janssen studied at the university of amsterdam.,,,['famke janssen'],[7496],0
Michael Palin attended Brasenose College of the University of Oxford.,1636,michael palin attended brasenose college of the university of oxford.,,,['brasenose college'],[9007],0
Liam Neeson is a cast member of the film series that contains Taken 2.,1637,liam neeson is a cast member of the film series that contains taken 2.,,,['liam neeson'],[3743],0
Concord is the place where Jack Abbott (the one that is educated at Dartmouth College) die.,1638,concord is the place where jack abbott (the one that is educated at dartmouth college) die.,,,['concord'],[5310],0
"The University of Jena is a public university that has its headquarters located in the city that serves as the twinned administrative body of Berkeley, where Billie Joe Armstrong works.",1640,"the university of jena is a public university that has its headquarters located in the city that serves as the twinned administrative body of berkeley, where billie joe armstrong works.",,,['university of jena'],[11670],0
Cornwall is the English ceremonial county that serves as the narrative location of Rebecca and also borders Devon (the birthplace of Ian Bryce).,1645,cornwall is the english ceremonial county that serves as the narrative location of rebecca and also borders devon (the birthplace of ian bryce).,,,['cornwall'],[2118],0
Mark Johnson participated in 1980 Winter Olympics.,1647,mark johnson participated in 1980 winter olympics.,,,['mark johnson'],[7118],0
Heartbeats is in the genre of dance film.,1649,heartbeats is in the genre of dance film.,,,['heartbeats'],[16413],0
Meshell Ndegeocello has the medical condition of epilepsy.,1651,meshell ndegeocello has the medical condition of epilepsy.,,,['meshell ndegeocello'],[11860],0
Alastair Reynolds is a person who is influenced by Michael Swanwick.,1654,alastair reynolds is a person who is influenced by michael swanwick.,,,['alastair reynolds'],[12702],0
Rick Rubin is a part of the Beastie Boys.,1655,rick rubin is a part of the beastie boys.,,,['beastie boys'],[6747],0
Doo-wop is associated with The Isley Brothers in rhythm and blues music.,1658,doo-wop is associated with the isley brothers in rhythm and blues music.,,,['doo-wop'],[13551],0
psychedelic folk is the specific music genre that Donovan performs in.,1659,psychedelic folk is the specific music genre that donovan performs in.,,,['psychedelic folk'],[725],0
The Gulf War is featured as the main subject in Jarhead.,1660,the gulf war is featured as the main subject in jarhead.,,,['gulf war'],[866],0
Alice in Wonderland is an animated film whose script was written by Lewis Carroll.,1661,alice in wonderland is an animated film whose script was written by lewis carroll.,,,['alice in wonderland'],[10989],0
"The visual artwork ""Heart"" originates from the country of Indonesia.",1662,"the visual artwork ""heart"" originates from the country of indonesia.",,,['heart'],[11634],0
Xinjiang is the first-level administrative country subdivision located in the People's Republic of China.,1664,xinjiang is the first-level administrative country subdivision located in the people's republic of china.,,,['xinjiang'],[14646],0
"Thomas Hardy died in England, which is the narrative location of Corpse Bride.",1667,"thomas hardy died in england, which is the narrative location of corpse bride.",,,['thomas hardy'],[13304],0
Christina Aguilera was born in Staten Island.,1669,christina aguilera was born in staten island.,,,['staten island'],[14045],0
"The Human Stain was penned by Philip Roth, who was influenced by Leo Tolstoy.",1671,"the human stain was penned by philip roth, who was influenced by leo tolstoy.",,,['the human stain'],[7683],0
M. Emmet Walsh is cast in both the literature-based film Serpico and in Romeo + Juliet.,1672,m. emmet walsh is cast in both the literature-based film serpico and in romeo + juliet.,,,['m. emmet walsh'],[16557],0
Las Vegas is the name of the city of the United States that is the narrative location of the television series that had Faye Dunaway as a cast member.,1680,las vegas is the name of the city of the united states that is the narrative location of the television series that had faye dunaway as a cast member.,,,['las vegas'],[14220],0
John Bailey's place of death is the neighborhood that is the birthplace of Neal McDonough.,1686,john bailey's place of death is the neighborhood that is the birthplace of neal mcdonough.,,,['john bailey'],[10693],0
Province of Potenza shares a border with the Province of Salerno.,1687,province of potenza shares a border with the province of salerno.,,,['province of potenza'],[7706],0
Henry Fonda is Peter Fonda's father.,1689,henry fonda is peter fonda's father.,,,['henry fonda'],[2291],0
Crohn's disease is the disease whose symptoms are stroke and headache.,1694,crohn's disease is the disease whose symptoms are stroke and headache.,,,"[""crohn's disease""]",[6037],0
Boeing 737 is an economic branch operated by both Southwest Airlines and American Airlines.,1697,boeing 737 is an economic branch operated by both southwest airlines and american airlines.,,,['boeing 737'],[3641],0
Noel Gallagher is the person with the record label Creation Records and a part of Oasis.,1706,noel gallagher is the person with the record label creation records and a part of oasis.,,,['noel gallagher'],[12248],0
The New York Times received the Pulitzer Prize for Public Service.,1709,the new york times received the pulitzer prize for public service.,,,['pulitzer prize for public service'],[2970],0
"Pietro Scalia is a film editor of Robin Hood, which was nominated for a Satellite Award for Best Costume Design.",1711,"pietro scalia is a film editor of robin hood, which was nominated for a satellite award for best costume design.",,,['pietro scalia'],[16447],0
The Atlantic Canada region has the province of Canada that has Newfoundland in it.,1714,the atlantic canada region has the province of canada that has newfoundland in it.,,,['atlantic canada'],[14776],0
Henrico County includes the capital of the independent city which is the birthplace of Tom Wolfe.,1716,henrico county includes the capital of the independent city which is the birthplace of tom wolfe.,,,['henrico county'],[10285],0
Shelby County contains the administrative division Memphis.,1717,shelby county contains the administrative division memphis.,,,['shelby county'],[1022],0
Philips is the parent organization of the record label which is followed by Universal Music Group.,1721,philips is the parent organization of the record label which is followed by universal music group.,,,['philips'],[3073],0
"The composer for the CBS distributed ""A Streetcar Named Desire"" is David Mansfield.",1722,"the composer for the cbs distributed ""a streetcar named desire"" is david mansfield.",,,['david mansfield'],[2330],0
Foo Fighters is a band Dave Grohl is a part of.,1727,foo fighters is a band dave grohl is a part of.,,,['foo fighters'],[10175],0
Ryan Seacrest was educated at University of Georgia and he is in the ethnic group of white people.,1734,ryan seacrest was educated at university of georgia and he is in the ethnic group of white people.,,,['ryan seacrest'],[14180],0
Jamaica is the birthplace of Debi Mazar.,1737,jamaica is the birthplace of debi mazar.,,,['jamaica'],[10161],0
Airplane! was executive produced by David Zucker.,1738,airplane! was executive produced by david zucker.,,,['david zucker'],[15511],0
Delta Delta Delta is a sorority coming from United States of America.,1741,delta delta delta is a sorority coming from united states of america.,,,['delta delta delta'],[6569],0
Aaron Sorkin created The West Wing.,1744,aaron sorkin created the west wing.,,,['aaron sorkin'],[16523],0
Enid is a television film that has Helena Bonham Carter as a cast member.,1749,enid is a television film that has helena bonham carter as a cast member.,,,['enid'],[15570],0
Martin Scorsese is the director of Cape Fear that was nominated for a BAFTA Award for Best Editing.,1756,martin scorsese is the director of cape fear that was nominated for a bafta award for best editing.,,,['martin scorsese'],[1466],0
Summer Wars mainly depicts artificial intelligence in an animated film.,1757,summer wars mainly depicts artificial intelligence in an animated film.,,,['summer wars'],[13460],0
"arms industry is the industry that is the main subject of Iron Man, which was released in Russia.",1759,"arms industry is the industry that is the main subject of iron man, which was released in russia.",,,['arms industry'],[17343],0
"Three Kings, made by Village Roadshow, was shot in Mexico.",1760,"three kings, made by village roadshow, was shot in mexico.",,,['three kings'],[4316],0
Scarlett Johansson's spouse is Ryan Reynolds.,1762,scarlett johansson's spouse is ryan reynolds.,,,['ryan reynolds'],[3475],0
Bill Berry is a member of Charlton Athletic F.C. and was born in London Borough of Hackney.,1763,bill berry is a member of charlton athletic f.c. and was born in london borough of hackney.,,,['bill berry'],[13539],0
Arnold Schwarzenegger is the producer of the feature film that was nominated for a Golden Raspberry Award for Worst New Star.,1770,arnold schwarzenegger is the producer of the feature film that was nominated for a golden raspberry award for worst new star.,,,['arnold schwarzenegger'],[10873],0
Prometheus features Damon Lindelof as an executive producer.,1773,prometheus features damon lindelof as an executive producer.,,,['prometheus'],[15841],0
MTV Movie Award for Best Scared-As-S**t Performance was nominated to Rose Byrne and The Grudge.,1775,mtv movie award for best scared-as-s**t performance was nominated to rose byrne and the grudge.,,,['mtv movie award for best scared-as-s**t performance'],[1740],0
Greg Kinnear is a cast member of Green Zone and As Good as It Gets.,1776,greg kinnear is a cast member of green zone and as good as it gets.,,,['greg kinnear'],[6392],0
Karan Johar was the screenwriter of Kuch Kuch Hota Hai.,1778,karan johar was the screenwriter of kuch kuch hota hai.,,,['karan johar'],[16537],0
Abdominal pain is a symptom of liver cirrhosis.,1779,abdominal pain is a symptom of liver cirrhosis.,,,['abdominal pain'],[9779],0
Thomas Jefferson founded the United States Military Academy.,1780,thomas jefferson founded the united states military academy.,,,['thomas jefferson'],[16782],0
Saw was the film series that included Saw 3D.,1782,saw was the film series that included saw 3d.,,,['saw'],[6264],0
Glee: The 3D Concert Movie has Chris Colfer as a cast member.,1783,glee: the 3d concert movie has chris colfer as a cast member.,,,['glee: the 3d concert movie'],[14353],0
Birmingham is the formation location of Electric Light Orchestra.,1786,birmingham is the formation location of electric light orchestra.,,,['birmingham'],[1310],0
Franz Liszt is the person that died in Bayreuth.,1791,franz liszt is the person that died in bayreuth.,,,['franz liszt'],[10089],0
The headquarter location of Club Atlas is in Guadalajara.,1792,the headquarter location of club atlas is in guadalajara.,,,['guadalajara'],[13033],0
The headquarters of the K.A.A. Gent association football team are located in Ghent.,1793,the headquarters of the k.a.a. gent association football team are located in ghent.,,,['k.a.a. gent'],[7206],0
The Perks of Being a Wallflower is written in English and is in the coming of age genre.,1794,the perks of being a wallflower is written in english and is in the coming of age genre.,,,['the perks of being a wallflower'],[5762],0
The Roots were nominated for Grammy Award for Best Rap Performance by a Duo or Group.,1799,the roots were nominated for grammy award for best rap performance by a duo or group.,,,['the roots'],[7427],0
John Hughes is both a founder and an employee of Fordham University.,1801,john hughes is both a founder and an employee of fordham university.,,,['john hughes'],[7581],0
Ice hockey is the type of sports that Anaheim Ducks sports team belongs to.,1804,ice hockey is the type of sports that anaheim ducks sports team belongs to.,,,['ice hockey'],[3429],0
Aaron Sorkin was the executive producer of The Social Network.,1805,aaron sorkin was the executive producer of the social network.,,,['aaron sorkin'],[16523],0
Alan Silvestri composed G.I. Joe: The Rise of Cobra which mainly depicts terrorism.,1807,alan silvestri composed g.i. joe: the rise of cobra which mainly depicts terrorism.,,,['alan silvestri'],[5285],0
Stuyvesant High School is the high school that Ron Silver attended.,1809,stuyvesant high school is the high school that ron silver attended.,,,['stuyvesant high school'],[12020],0
HTC Corporation is an organization from Taiwan.,1813,htc corporation is an organization from taiwan.,,,['htc corporation'],[2561],0
The U.S Congress chairperson is a member of the Congressional Progressive Caucus.,1820,the u.s congress chairperson is a member of the congressional progressive caucus.,,,['congressional progressive caucus'],[12003],0
The distributor of Home Alone is Sony Interactive Entertainment.,1822,the distributor of home alone is sony interactive entertainment.,,,['home alone'],[14115],0
Nine Lives is a film that has Amanda Seyfried and Glenn Close as cast members.,1823,nine lives is a film that has amanda seyfried and glenn close as cast members.,,,['nine lives'],[3942],0
Umbria is the region of Italy that has the capital Perugia.,1825,umbria is the region of italy that has the capital perugia.,,,['umbria'],[262],0
Alastair Reynolds was a student of Utrecht University.,1826,alastair reynolds was a student of utrecht university.,,,['alastair reynolds'],[12702],0
Laval is the administrative division of Quebec that shares a border with Newfoundland and Labrador.,1827,laval is the administrative division of quebec that shares a border with newfoundland and labrador.,,,['laval'],[16727],0
Vienna is an administrative division of Austria.,1828,vienna is an administrative division of austria.,,,['vienna'],[11147],0
Tony Leung was awarded the Hong Kong Film Award for Best Supporting Actor.,1831,tony leung was awarded the hong kong film award for best supporting actor.,,,['hong kong film award for best supporting actor'],[1497],0
The Secret in Their Eyes is a nominee of the Spanish award category.,1832,the secret in their eyes is a nominee of the spanish award category.,,,['the secret in their eyes'],[8548],0
The Council of Europe was established by the United Kingdom.,1837,the council of europe was established by the united kingdom.,,,['council of europe'],[10200],0
The mythological story that Clash of the Titans (shot in Malta) is based on is Greek mythology.,1841,the mythological story that clash of the titans (shot in malta) is based on is greek mythology.,,,['greek mythology'],[3243],0
The person who directed the visual artwork that derives Bedazzled (the one with the narrative location Colombia) is Stanley Donen.,1844,the person who directed the visual artwork that derives bedazzled (the one with the narrative location colombia) is stanley donen.,,,['stanley donen'],[356],0
"Ralph Vaughan Williams is employed by Birkbeck, University of London.",1845,"ralph vaughan williams is employed by birkbeck, university of london.",,,"['birkbeck, university of london']",[4008],0
The 66th Golden Globe Awards ceremony was received by Happy-Go-Lucky.,1848,the 66th golden globe awards ceremony was received by happy-go-lucky.,,,['66th golden globe awards'],[10061],0
"The 47th Academy Awards ceremony, in which award was received by Hearts and Minds, has its origin in the United States of America.",1853,"the 47th academy awards ceremony, in which award was received by hearts and minds, has its origin in the united states of america.",,,['47th academy awards'],[6594],0
Liverpool is the metropolitan borough that contains the city that is the headquarters location of Everton F.C.,1855,liverpool is the metropolitan borough that contains the city that is the headquarters location of everton f.c.,,,['liverpool'],[8656],0
Xander Berkeley is a cast member of Salem (English version).,1856,xander berkeley is a cast member of salem (english version).,,,['xander berkeley'],[5776],0
The movie that has the person who produced A Simple Plan as an executive producer is The Jackal.,1857,the movie that has the person who produced a simple plan as an executive producer is the jackal.,,,['the jackal'],[17651],0
Dayton is the birthplace of Mike Nawrocki and Cris Collinsworth.,1863,dayton is the birthplace of mike nawrocki and cris collinsworth.,,,['dayton'],[12885],0
Michael Madsen is a Danish citizen who plays defense.,1864,michael madsen is a danish citizen who plays defense.,,,['michael madsen'],[9061],0
The position that matches the occupation of Bai Ling and also the occupation of Scott Glenn is soldier.,1868,the position that matches the occupation of bai ling and also the occupation of scott glenn is soldier.,,,['soldier'],[17003],0
Brazil is the country of Belo Horizonte.,1869,brazil is the country of belo horizonte.,,,['brazil'],[16077],0
Lalo Schifrin was educated at the University of Buenos Aires.,1873,lalo schifrin was educated at the university of buenos aires.,,,['university of buenos aires'],[17023],0
"Arnon Milchan is the manager of the film production company that is the production company of A Midsummer Night's Dream, which is a drama film.",1875,"arnon milchan is the manager of the film production company that is the production company of a midsummer night's dream, which is a drama film.",,,['arnon milchan'],[12327],0
Get Smart is the television series created by the screenwriter of The Producers that was shot in New York City.,1883,get smart is the television series created by the screenwriter of the producers that was shot in new york city.,,,['get smart'],[11966],0
"""Blow"" is an English work produced by Denis Leary.",1885,"""blow"" is an english work produced by denis leary.",,,['blow'],[8196],0
Will County is the Illinois county whose capital is Joliet.,1888,will county is the illinois county whose capital is joliet.,,,['will county'],[9846],0
David Thewlis was born in Blackpool.,1892,david thewlis was born in blackpool.,,,['blackpool'],[9254],0
Lawrence Kasdan is the production company of The Bodyguard.,1895,lawrence kasdan is the production company of the bodyguard.,,,['the bodyguard'],[277],0
Maury Chaykin's death was caused by kidney failure.,1897,maury chaykin's death was caused by kidney failure.,,,['kidney failure'],[15572],0
Niels Bohr is employed by the university that belongs to the country of Denmark,1900,niels bohr is employed by the university that belongs to the country of denmark,,,['niels bohr'],[13145],0
Imagine Entertainment is a film production company founded by the person who directed Cinderella Man.,1901,imagine entertainment is a film production company founded by the person who directed cinderella man.,,,['imagine entertainment'],[7803],0
The administrative territorial entity that is also called the administrative body of Austin is the London Borough of Hackney.,1908,the administrative territorial entity that is also called the administrative body of austin is the london borough of hackney.,,,['london borough of hackney'],[15421],0
The river that has Switzerland as a basin county is Rhine.,1911,the river that has switzerland as a basin county is rhine.,,,['rhine'],[4301],0
Jurassic Park is a media franchise directed by Steven Spielberg.,1912,jurassic park is a media franchise directed by steven spielberg.,,,['jurassic park'],[7582],0
"One of the anime television series whose genre is film based on literature and original language is Japanese is ""The Three Musketeers"".",1916,"one of the anime television series whose genre is film based on literature and original language is japanese is ""the three musketeers"".",,,['the three musketeers'],[5790],0
Don Knotts is from the US city where West Virginia University is located.,1930,don knotts is from the us city where west virginia university is located.,,,['don knotts'],[17100],0
Peter Bogdanovich is the person that is the screenwriter of Nickelodeon (the one whose producer is Irwin Winkler).,1932,peter bogdanovich is the person that is the screenwriter of nickelodeon (the one whose producer is irwin winkler).,,,['peter bogdanovich'],[7482],0
National Institute of Dramatic Art is the art school that was attended by Mel Gibson who stars in Conspiracy Theory.,1936,national institute of dramatic art is the art school that was attended by mel gibson who stars in conspiracy theory.,,,['national institute of dramatic art'],[11377],0
"Dressed to Kill is a visual artwork with an executive producer who produced Wuthering Heights, whose production company is American International Pictures.",1937,"dressed to kill is a visual artwork with an executive producer who produced wuthering heights, whose production company is american international pictures.",,,['dressed to kill'],[333],0
FC Vaduz is a soccer club of Liechtenstein.,1939,fc vaduz is a soccer club of liechtenstein.,,,['fc vaduz'],[13790],0
Tony Longo is a cast member of The Flintstones in Viva Rock Vegas and educated at the University of Rhode Island.,1940,tony longo is a cast member of the flintstones in viva rock vegas and educated at the university of rhode island.,,,['tony longo'],[17382],0
All Quiet on the Western Front cast Fred Zinnemann.,1943,all quiet on the western front cast fred zinnemann.,,,['all quiet on the western front'],[8121],0
Invincible was produced by Werner Herzog.,1947,invincible was produced by werner herzog.,,,['invincible'],[12066],0
Northampton is the capital of the Massachusetts county containing Amherst.,1948,northampton is the capital of the massachusetts county containing amherst.,,,['northampton'],[2887],0
The Golden Girls was produced by Tony Thomas.,1951,the golden girls was produced by tony thomas.,,,['tony thomas'],[11887],0
Michael Kahn edited the movie Amistad.,1953,michael kahn edited the movie amistad.,,,['michael kahn'],[2958],0
Ozzy Osbourne belongs to the stoner rock group Black Sabbath.,1957,ozzy osbourne belongs to the stoner rock group black sabbath.,,,['ozzy osbourne'],[8984],0
Starter for 10 is set in Bristol.,1958,starter for 10 is set in bristol.,,,['starter for 10'],[8631],0
Sharmila Tagore is the parent of Saif Ali Khan.,1960,sharmila tagore is the parent of saif ali khan.,,,['saif ali khan'],[13061],0
The time zone that is shared by Italy and the Czech Republic is Central European Time.,1964,the time zone that is shared by italy and the czech republic is central european time.,,,['central european time'],[379],0
Roger Moore worked for Texas Tech University.,1966,roger moore worked for texas tech university.,,,['roger moore'],[5309],0
Zodiac is a written work in the true crime genre.,1968,zodiac is a written work in the true crime genre.,,,['zodiac'],[7030],0
The symptoms of Cholera are vomiting.,1974,the symptoms of cholera are vomiting.,,,['vomiting'],[11745],0
Hiroshima is the city where Toyo Carp's headquarter is located.,1975,hiroshima is the city where toyo carp's headquarter is located.,,,['hiroshima'],[1092],0
Julia is a female given name that uses the Latin language.,1976,julia is a female given name that uses the latin language.,,,['julia'],[3612],0
The nationality that has the Erika Christensen ethnic group is Welsh people.,1979,the nationality that has the erika christensen ethnic group is welsh people.,,,['welsh people'],[2450],0
"The Mummy, directed by Alex Kurtzman, was a visual artwork.",1980,"the mummy, directed by alex kurtzman, was a visual artwork.",,,['the mummy'],[15693],0
Jake Shimabukuro is on the record label Sony Music Entertainment Japan.,1984,jake shimabukuro is on the record label sony music entertainment japan.,,,['jake shimabukuro'],[7424],0
"Columbia County, Wisconsin is named for someone who is also the namesake for Columbia, capital of South Carolina.",1987,"columbia county, wisconsin is named for someone who is also the namesake for columbia, capital of south carolina.",,,['columbia county'],[1352],0
Southern Gospel has its roots in the sovereign state of citizen Ernst Lubitsch.,1988,southern gospel has its roots in the sovereign state of citizen ernst lubitsch.,,,['southern gospel'],[1921],0
Danny Kaye is the person who is a cast member of Hans Christian Andersen that was nominated for an Academy Award for Best Original Musical Score.,1989,danny kaye is the person who is a cast member of hans christian andersen that was nominated for an academy award for best original musical score.,,,['danny kaye'],[12124],0
Bursaspor is an agent that is related to basketball as a sport.,1991,bursaspor is an agent that is related to basketball as a sport.,,,['bursaspor'],[6493],0
Bon Jovi performed on the album on record label Vertigo Records.,1992,bon jovi performed on the album on record label vertigo records.,,,['bon jovi'],[11220],0
Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Leading Role was nominated to Into the Wild (which has Jena Malone as a cast member) and was received by Eddie Redmayne.,1996,screen actors guild award for outstanding performance by a male actor in a leading role was nominated to into the wild (which has jena malone as a cast member) and was received by eddie redmayne.,,,['screen actors guild award for outstanding performance by a male actor in a leading role'],[2350],0
The pedal steel guitar played by Jerry Garcia is also famously associated with Ronnie Wood.,2000,the pedal steel guitar played by jerry garcia is also famously associated with ronnie wood.,,,['pedal steel guitar'],[2243],0
"Middlesex is the historic county in England that is the source of the name Middlesex County, with its capital being Middletown, and shares a border with Buckinghamshire.",2002,"middlesex is the historic county in england that is the source of the name middlesex county, with its capital being middletown, and shares a border with buckinghamshire.",,,['middlesex'],[6536],0
Max Weber died in the administrative-territorial entity that is Walter Benjamin's working location.,2003,max weber died in the administrative-territorial entity that is walter benjamin's working location.,,,['max weber'],[14558],0
"The Rocketeer is the activity that publisher Bandai Co., Ltd. has.",2004,"the rocketeer is the activity that publisher bandai co., ltd. has.",,,['the rocketeer'],[9619],0
Tim Duncan's team position is placekicker.,2006,tim duncan's team position is placekicker.,,,['tim duncan'],[3170],0
The BIFA Award for Best British Independent Film was received by Tyrannosaur.,2013,the bifa award for best british independent film was received by tyrannosaur.,,,['tyrannosaur'],[8623],0
The University of Halle-Wittenberg is a public university located in Halle (Saale).,2021,the university of halle-wittenberg is a public university located in halle (saale).,,,['university of halle-wittenberg'],[7890],0
Boys Don't Cry is the single in the pop rock genre by the famous musician Bill Berry.,2022,boys don't cry is the single in the pop rock genre by the famous musician bill berry.,,,"[""boys don't cry""]",[15885],0
Glasgow is the city where the person who is the member of the Colorado Rapids was born.,2025,glasgow is the city where the person who is the member of the colorado rapids was born.,,,['glasgow'],[5234],0
Tangled is produced by Rachael Leigh Cook.,2028,tangled is produced by rachael leigh cook.,,,['tangled'],[2867],0
"The Good, the Bad, the Weird is the film that has the narrative location of Liaoning.",2035,"the good, the bad, the weird is the film that has the narrative location of liaoning.",,,"['the good, the bad, the weird']",[14674],0
The Oakland Raiders are headquartered in the US city where Jack Vance died.,2037,the oakland raiders are headquartered in the us city where jack vance died.,,,['oakland raiders'],[16454],0
"The Houston Rockets participated in the 2007 NBA Draft and has headquarters in Houston, which is the twin administrative body to Baku.",2038,"the houston rockets participated in the 2007 nba draft and has headquarters in houston, which is the twin administrative body to baku.",,,['houston rockets'],[13341],0
"Satyajit Ray was influenced by Rabindranath Tagore, who wrote novels.",2039,"satyajit ray was influenced by rabindranath tagore, who wrote novels.",,,['satyajit ray'],[7223],0
Russian Orthodox Church applies jurisdiction over the Soviet Union.,2042,russian orthodox church applies jurisdiction over the soviet union.,,,['russian orthodox church'],[2319],0
shortstop is the baseball position that the person who died in Flushing played.,2044,shortstop is the baseball position that the person who died in flushing played.,,,['shortstop'],[6802],0
Michelangelo works in Bologna.,2045,michelangelo works in bologna.,,,['michelangelo'],[13866],0
Westminster Abbey is the name of the church building where Ernest Rutherford is buried.,2046,westminster abbey is the name of the church building where ernest rutherford is buried.,,,['westminster abbey'],[7356],0
Pocahontas is a song in the genre of contemporary folk music.,2047,pocahontas is a song in the genre of contemporary folk music.,,,['pocahontas'],[13118],0
Blade Runner is a notable work of Vangelis.,2053,blade runner is a notable work of vangelis.,,,['blade runner'],[5079],0
"Kilkenny, located in County Kilkenny, is the city in Ireland that is the release region of Rust and Bone.",2056,"kilkenny, located in county kilkenny, is the city in ireland that is the release region of rust and bone.",,,['kilkenny'],[11829],0
"James Brown died in Philadelphia, where St. Joseph's University is located, and works in Washington, DC.",2059,"james brown died in philadelphia, where st. joseph's university is located, and works in washington, dc.",,,['james brown'],[8034],0
The headquarters of the association football club Newell's Old Boys is located in the city that is a part of the Santa Fe Province.,2061,the headquarters of the association football club newell's old boys is located in the city that is a part of the santa fe province.,,,"[""newell's old boys""]",[8324],0
Williams College is a liberal arts college that Crispin Freeman attended.,2063,williams college is a liberal arts college that crispin freeman attended.,,,['williams college'],[3530],0
"Carrie Fisher is the spouse of Paul Simon, the record producer.",2066,"carrie fisher is the spouse of paul simon, the record producer.",,,['carrie fisher'],[2390],0
Jack Nitzsche composed One Flew Over the Cuckoo's Nest (a film based on literature).,2069,jack nitzsche composed one flew over the cuckoo's nest (a film based on literature).,,,['jack nitzsche'],[16649],0
Covington is a city in the United States where Robert L. Surtees was born.,2070,covington is a city in the united states where robert l. surtees was born.,,,['covington'],[5491],0
Christopher Plummer is casted in Jesus of Nazareth.,2072,christopher plummer is casted in jesus of nazareth.,,,['jesus of nazareth'],[6665],0
"The Nightmare Before Christmas is an animated film whose lyrics are written by the composer of Planet of the Apes, and Tim Burton is its director.",2074,"the nightmare before christmas is an animated film whose lyrics are written by the composer of planet of the apes, and tim burton is its director.",,,['the nightmare before christmas'],[396],0
Antonio Banderas's spouse belongs to a Swedish American ethnic community.,2077,antonio banderas's spouse belongs to a swedish american ethnic community.,,,['swedish american'],[680],0
James Monroe was born in the Virginia county that has Charlottesville as the capital.,2079,james monroe was born in the virginia county that has charlottesville as the capital.,,,['james monroe'],[4685],0
Shasta County is the California county whose capital is Redding.,2081,shasta county is the california county whose capital is redding.,,,['shasta county'],[8306],0
Michael Bay is the director of the visual artwork that derives Transformers: Revenge of the Fallen whose game mode is multiplayer video game.,2085,michael bay is the director of the visual artwork that derives transformers: revenge of the fallen whose game mode is multiplayer video game.,,,['michael bay'],[16682],0
"Camden is the headquarters location of New York Shipbuilding Corporation, which is located in the United States of America.",2086,"camden is the headquarters location of new york shipbuilding corporation, which is located in the united states of america.",,,['new york shipbuilding corporation'],[6918],0
Aphex Twin is well known for hardcore and was born in Limerick.,2089,aphex twin is well known for hardcore and was born in limerick.,,,['aphex twin'],[16411],0
The association football club based in the big city bordering Dortmund is VfL Bochum.,2092,the association football club based in the big city bordering dortmund is vfl bochum.,,,['vfl bochum'],[11082],0
The capital of the Pennsylvania county that contains Lincoln University is West Chester.,2093,the capital of the pennsylvania county that contains lincoln university is west chester.,,,['west chester'],[15500],0
Mortal Kombat: Annihilation mainly depicts a ninja and was produced by New Line Cinema.,2095,mortal kombat: annihilation mainly depicts a ninja and was produced by new line cinema.,,,['mortal kombat: annihilation'],[1611],0
Newfoundland is the island where The Shipping News novel's story is set.,2097,newfoundland is the island where the shipping news novel's story is set.,,,['newfoundland'],[8747],0
The sovereign state that is the country of the Colorado Rockies is the country of The Black Keys.,2098,the sovereign state that is the country of the colorado rockies is the country of the black keys.,,,['the black keys'],[13368],0
"James Garner, a member of the Us Army, is a television producer.",2107,"james garner, a member of the us army, is a television producer.",,,['television producer'],[7039],0
Judo is a martial arts discipline that was practiced by both Dolph Lundgren and Theodore Roosevelt.,2109,judo is a martial arts discipline that was practiced by both dolph lundgren and theodore roosevelt.,,,['judo'],[5168],0
"Douglas Haig, 1st Earl Haig was involved in the Second Boer War and held the occupation of military officer.",2116,"douglas haig, 1st earl haig was involved in the second boer war and held the occupation of military officer.",,,"['douglas haig, 1st earl haig']",[10261],0
Orlando Bloom is educated at the University of Kent and is a cast member of The Lord of the Rings: The Return of the King (that has Bret McKenzie as a cast member).,2117,orlando bloom is educated at the university of kent and is a cast member of the lord of the rings: the return of the king (that has bret mckenzie as a cast member).,,,['orlando bloom'],[13413],0
